LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.46605878855399235
Amygdala;DICE;STD;0.05421043818946317
Amygdala;HDRFDST;MEAN;12.169805979884224
Amygdala;HDRFDST;STD;1.3022374637423872
Amygdala;JACRD;MEAN;0.3055161234495072
Amygdala;JACRD;STD;0.04772644314761655
Amygdala;PRCISON;MEAN;0.3144818050432518
Amygdala;PRCISON;STD;0.04827958177643423
Amygdala;SNSVTY;MEAN;0.9175974555062503
Amygdala;SNSVTY;STD;0.06728580209298068
GreyMatter;DICE;MEAN;0.6793130617491331
GreyMatter;DICE;STD;0.014329112393303364
GreyMatter;HDRFDST;MEAN;3.1447665394066435
GreyMatter;HDRFDST;STD;0.9276008908083067
GreyMatter;JACRD;MEAN;0.5145407885273395
GreyMatter;JACRD;STD;0.016347758221517867
GreyMatter;PRCISON;MEAN;0.529172011031012
GreyMatter;PRCISON;STD;0.020429196978329137
GreyMatter;SNSVTY;MEAN;0.9518027850189303
GreyMatter;SNSVTY;STD;0.042556686991978974
Hippocampus;DICE;MEAN;0.43921363347959874
Hippocampus;DICE;STD;0.03382388617998222
Hippocampus;HDRFDST;MEAN;12.178102054596376
Hippocampus;HDRFDST;STD;1.1592369679386105
Hippocampus;JACRD;MEAN;0.2820035743923884
Hippocampus;JACRD;STD;0.02761398789418861
Hippocampus;PRCISON;MEAN;0.2840631778599596
Hippocampus;PRCISON;STD;0.027811692058661186
Hippocampus;SNSVTY;MEAN;0.975140395368714
Hippocampus;SNSVTY;STD;0.01889394725755555
Thalamus;DICE;MEAN;0.7027178830248747
Thalamus;DICE;STD;0.01949165633076756
Thalamus;HDRFDST;MEAN;6.004617411904849
Thalamus;HDRFDST;STD;0.7032565226495294
Thalamus;JACRD;MEAN;0.5420331990766925
Thalamus;JACRD;STD;0.023196331663353522
Thalamus;PRCISON;MEAN;0.5471526190200869
Thalamus;PRCISON;STD;0.024901448819009808
Thalamus;SNSVTY;MEAN;0.9834703209398482
Thalamus;SNSVTY;STD;0.006754962774891434
WhiteMatter;DICE;MEAN;0.805617732179952
WhiteMatter;DICE;STD;0.03787312665592857
WhiteMatter;HDRFDST;MEAN;3.3490644459730916
WhiteMatter;HDRFDST;STD;0.6194895775708834
WhiteMatter;JACRD;MEAN;0.6761342037287098
WhiteMatter;JACRD;STD;0.05136438143567233
WhiteMatter;PRCISON;MEAN;0.7099336992825921
WhiteMatter;PRCISON;STD;0.07527896976687624
WhiteMatter;SNSVTY;MEAN;0.9428718905241599
WhiteMatter;SNSVTY;STD;0.04234651275073885
